1 Phenax, God of Deception [Commander, Creature]

1 Charix, the Raging Isle [Mill, Creature]
1 Tree of Perdition [Mill, Creature]
1 Consuming Aberration [Mill, Creature]
1 Keening Stone [Mill, Artifact]
1 Wight of Precinct Six [Mill, Creature]
1 Nighthowler [Mill, Creature]
1 Sire of Stagnation [Crime, Creature]
1 Pilfered Plans [Crime, Sorcery]
1 Thief of Sanity [Crime, Creature]
1 Nightveil Specter [Crime, Creature]
1 Gonti, Lord of Luxury [Crime, Creature]
1 Hostage Taker [Crime, Creature]
1 Dauthi Voidwalker [Crime, Creature]
1 Mindleech Mass [Crime, Creature]
1 Agent of Treachery [Crime, Creature]
1 Sower of Temptation [Crime, Creature]

1 Syr Konrad, the Grim [Mill, Creature]
1 Duskmantle Guildmage [Mill, Creature]
1 Fleet Swallower [Mill, Creature]
1 Bruvac the Grandiloquent [Mill, Creature]
1 Whispering Madness [Draw, Sorcery]
1 Sphinx's Tutelage [Draw, Enchantment]
1 Sphinx of Foresight [Draw, Creature]
1 Champion of Wits [Draw, Creature]
1 Mulldrifter [Draw, Creature]
1 Psychic Corrosion [Mill, Enchantment]

1 Altar of Dementia [Mill, Artifact]
1 Mindcrank [Mill, Artifact]
1 Fraying Sanity [Mill, Enchantment]
1 Memory Erosion [Mill, Enchantment]
1 Maddening Cacophony [Mill, Sorcery]
1 Drown in Dreams [Draw, Instant]
1 Windfall [Draw, Sorcery]
1 Teferi's Ageless Insight [Draw, Enchantment]
1 Geth, Lord of the Vault [Mill, Creature]

# Ramp
1 Wayfarer's Bauble [Ramp, Artifact]
1 Arcane Signet [Ramp, Artifact]
1 Dimir Signet [Ramp, Artifact]
1 Talisman of Dominance [Ramp, Artifact]
1 Fellwar Stone [Ramp, Artifact]
1 Thought Vessel [Ramp, Artifact]
1 Commander's Sphere [Ramp, Artifact]
1 Worn Powerstone [Ramp, Artifact]
1 Mind Stone [Ramp, Artifact]
1 Prismatic Lens [Ramp, Artifact]

# Removal / Control
1 Counterspell [Control, Instant]
1 Negate [Control, Instant]
1 Swan Song [Control, Instant]
1 Arcane Denial [Control, Instant]
1 Doom Blade [Removal, Instant]
1 Go for the Throat [Removal, Instant]
1 Toxic Deluge [Boardwipe, Sorcery]

1 Mystic Remora [Draw, Enchantment]
1 Phyrexian Arena [Draw, Enchantment]
1 Sphinx of the Final Word [Draw, Creature]
1 Arcanis the Omnipotent [Draw, Creature]

1 Lightning Greaves [Protection, Artifact]
1 Swiftfoot Boots [Protection, Artifact]
1 Propaganda [Control, Enchantment]
1 Wall of Forgotten Pharaohs [Mill, Creature]
1 Returned Phalanx [Mill, Creature]
1 Guiltfeeder [Crime, Creature]
1 Silent Arbiter [Control, Creature]

# Lands (34)
1 Bone Miser [Draw, Creature]
1 Sphinx of Uthuun [Draw, Creature]
1 Command Tower [Fixing, Land]
1 Contaminated Aquifer [Fixing, Land]
1 Tainted Isle [Fixing, Land]
1 Sunken Hollow [Fixing, Land]
1 Drowned Catacomb [Fixing, Land]
1 Choked Estuary [Fixing, Land]
1 Shipwreck Marsh [Fixing, Land]
1 Fetid Pools [Fixing, Land]
1 Underground River [Fixing, Land]
1 Darkwater Catacombs [Fixing, Land]
1 Ash Barrens [Fixing, Land]
1 Ice Tunnel [Fixing, Land]
1 Undercity Sewers [Fixing, Land]
1 Dimir Guildgate [Fixing, Land]
1 Submerged Boneyard [Fixing, Land]
1 Nephalia Drownyard [Mill Utility, Land]
1 Duskmantle, House of Shadow [Mill Utility, Land]
1 Academy Ruins [Utility, Land]
1 Bojuka Bog [Utility, Land]
1 Ghost Quarter [Utility, Land]
1 Terramorphic Expanse [Fixing, Land]
1 Evolving Wilds [Fixing, Land]
1 Dispel [Control, Instant]
1 Victim of Night [Removal, Instant]
1 Cancel [Control, Instant]
1 Essence Scatter [Control, Instant]
1 Hero's Downfall [Removal, Instant]
1 Spell Pierce [Control, Instant]
4 Island [Basic, Land]
2 Swamp [Basic, Land]
