1 Kenrith, the Returned King [Commander, Creature]

1 Glistener Elf [Wincon, Creature]
1 Plague Stinger [Wincon, Creature]
1 Ichorclaw Myr [Wincon, Creature]
1 Corpse Cur [Wincon, Creature]
1 Phyrexian Crusader [Wincon, Creature]
1 Blighted Agent [Wincon, Creature]
1 Viral Drake [Wincon, Creature]
1 Skithiryx, the Blight Dragon [Wincon, Creature]
1 Triumph of the Hordes [Wincon, Sorcery]
1 Tainted Strike [Wincon, Instant]

1 Atraxa, Praetors' Voice [Combo, Creature]
1 Inexorable Tide [Combo, Enchantment]
1 Contagion Engine [Combo, Artifact]
1 Contagion Clasp [Combo, Artifact]
1 Thrummingbird [Combo, Creature]
1 Steady Progress [Combo, Instant]
1 Tezzeret's Gambit [Card Draw, Sorcery]
1 Fuel for the Cause [Counterspell, Instant]
1 Volt Charge [Removal, Instant]
1 Voidslime [Counterspell, Instant]
1 Evolution Sage [Combo, Creature]
1 Flux Channeler [Combo, Creature]

1 Sol Ring [Ramp, Artifact]
1 Arcane Signet [Ramp, Artifact]
1 Chromatic Lantern [Ramp, Artifact]
1 Commander's Sphere [Ramp, Artifact]
1 Fellwar Stone [Ramp, Artifact]
1 Farseek [Ramp, Sorcery]
1 Malevolent Rumble [Ramp, Sorcery]
1 Harrow [Ramp, Instant]
1 Entish Restoration [Ramp, Sorcery]
1 Primal Growth [Ramp, Sorcery]

1 Mistvein Borderpost [Fixing, Artifact]
1 Veinfire Borderpost [Fixing, Artifact]
1 Fieldmist Borderpost [Fixing, Artifact]
1 Firewild Borderpost [Fixing, Artifact]
1 Wildfield Borderpost [Fixing, Artifact]

1 Condemn [Removal, Instant]
1 Anguished Unmaking [Removal, Instant]
1 Utter End [Removal, Instant]
1 Chaos Warp [Removal, Instant]
1 Counterspell [Counterspell, Instant]
1 Swan Song [Counterspell, Instant]

1 Wrath of God [Boardwipe, Sorcery]
1 Yawgmoth's Will [Value, Sorcery]

1 Rhystic Study [Card Draw, Enchantment]
1 Brainstorm [Card Draw, Instant]

1 Demonic Tutor [Combo, Sorcery]
1 Enlightened Tutor [Combo, Instant]
1 Eternal Witness [Value, Creature]
1 Regrowth [Value, Sorcery]

1 Lightning Greaves [Protection, Artifact]
1 Swiftfoot Boots [Protection, Artifact]
1 Maskwood Nexus [Combo, Artifact]

1 Smothering Tithe [Ramp, Enchantment]
1 Birds of Paradise [Ramp, Creature]
1 Bloom Tender [Ramp, Creature]
1 Faeburrow Elder [Ramp, Creature]
1 Mission Briefing [Value, Instant]

1 Command Tower [Fixing, Land]
1 Exotic Orchard [Fixing, Land]
1 Mana Confluence [Fixing, Land]
1 The World Tree [Fixing, Land]
1 Karn's Bastion [Combo, Land]
1 Inkmoth Nexus [Wincon, Land]
1 Blinkmoth Nexus [Wincon, Land]
1 Contentious Plan [Combo, Sorcery]
1 Planewide Celebration [Combo, Sorcery]
1 Spread the Sickness [Combo, Sorcery]
1 Blighted Woodland [Ramp, Land]
1 Myriad Landscape [Ramp, Land]
1 Aspirant's Ascent [Combo, Instant]
1 Give // Take [Combo, Sorcery]
1 Sword of Truth and Justice [Combo, Artifact]
1 Tekuthal, Inquiry Dominus [Combo, Creature]

1 Terramorphic Expanse [Fixing, Land]
1 Evolving Wilds [Fixing, Land]
1 Ash Barrens [Fixing, Land]

1 Corrupted Conscience [Combo, Enchantment]
1 Grafted Exoskeleton [Combo, Artifact]
1 Phyrexian Swarmlord [Combo, Creature]
1 Core Prowler [Combo, Creature]
1 Melira, Sylvok Outcast [Combo, Creature]
1 Necropede [Combo, Creature]
1 Putrefax [Wincon, Creature]
1 Hand of the Praetors [Combo, Creature]
1 Whispering Specter [Combo, Creature]

4 Forest [Fixing, Land]
2 Island [Fixing, Land]
2 Plains [Fixing, Land]
2 Mountain [Fixing, Land]
2 Swamp [Fixing, Land]
