1 Kenrith, the Returned King [Commander, Creature]

1 Glistener Elf [Wincon, Creature]
1 Plague Stinger [Wincon, Creature]
1 Ichorclaw Myr [Wincon, Creature]
1 Corpse Cur [Wincon, Creature]
1 Phyrexian Crusader [Wincon, Creature]
1 Blighted Agent [Wincon, Creature]
1 Viral Drake [Wincon, Creature]
1 Skithiryx, the Blight Dragon [Wincon, Creature]
1 Triumph of the Hordes [Wincon, Sorcery]
1 Tainted Strike [Wincon, Instant]

1 Atraxa, Praetors' Voice [Combo, Creature]
1 Inexorable Tide [Combo, Enchantment]
1 Contagion Engine [Combo, Artifact]
1 Contagion Clasp [Combo, Artifact]
1 Thrummingbird [Combo, Creature]
1 Steady Progress [Combo, Instant]
1 Tezzeret's Gambit [Card Draw, Sorcery]
1 Fuel for the Cause [Counterspell, Instant]
1 Volt Charge [Removal, Instant]
1 Voidslime [Counterspell, Instant]
1 Planebound Accomplice [Combo, Creature]
1 Evolution Sage [Combo, Creature]
1 Flux Channeler [Combo, Creature]

1 Sol Ring [Ramp, Artifact]
1 Arcane Signet [Ramp, Artifact]
1 Chromatic Lantern [Ramp, Artifact]
1 Commander's Sphere [Ramp, Artifact]
1 Fellwar Stone [Ramp, Artifact]
1 Talisman of Dominance [Ramp, Artifact]
1 Talisman of Progress [Ramp, Artifact]
1 Talisman of Hierarchy [Ramp, Artifact]
1 Talisman of Unity [Ramp, Artifact]
1 Talisman of Curiosity [Ramp, Artifact]
1 Cultivate [Ramp, Sorcery]
1 Kodama's Reach [Ramp, Sorcery]
1 Rampant Growth [Ramp, Sorcery]
1 Nature's Lore [Ramp, Sorcery]
1 Three Visits [Ramp, Sorcery]

1 Mistvein Borderpost [Fixing, Artifact]
1 Veinfire Borderpost [Fixing, Artifact]
1 Fieldmist Borderpost [Fixing, Artifact]
1 Firewild Borderpost [Fixing, Artifact]
1 Wildfield Borderpost [Fixing, Artifact]

1 Swords to Plowshares [Removal, Instant]
1 Path to Exile [Removal, Instant]
1 Beast Within [Removal, Instant]
1 Generous Gift [Removal, Instant]
1 Chaos Warp [Removal, Instant]
1 Counterspell [Counterspell, Instant]
1 Negate [Counterspell, Instant]
1 Swan Song [Counterspell, Instant]
1 Dovin's Veto [Counterspell, Instant]

1 Wrath of God [Boardwipe, Sorcery]
1 Supreme Verdict [Boardwipe, Sorcery]
1 Toxic Deluge [Boardwipe, Sorcery]
1 Austere Command [Boardwipe, Sorcery]

1 Rhystic Study [Card Draw, Enchantment]
1 Mystic Remora [Card Draw, Enchantment]
1 Phyrexian Arena [Card Draw, Enchantment]
1 Sylvan Library [Card Draw, Enchantment]
1 Brainstorm [Card Draw, Instant]
1 Serum Visions [Card Draw, Sorcery]
1 Preordain [Card Draw, Sorcery]

1 Demonic Tutor [Combo, Sorcery]
1 Vampiric Tutor [Combo, Instant]
1 Enlightened Tutor [Combo, Instant]
1 Mystical Tutor [Combo, Instant]
1 Worldly Tutor [Combo, Instant]
1 Eladamri's Call [Combo, Instant]

1 Lightning Greaves [Protection, Artifact]
1 Swiftfoot Boots [Protection, Artifact]
1 Heroic Intervention [Protection, Instant]
1 Teferi's Protection [Protection, Instant]
1 Boros Charm [Protection, Instant]

1 Smothering Tithe [Ramp, Enchantment]
1 Birds of Paradise [Ramp, Creature]
1 Noble Hierarch [Ramp, Creature]
1 Bloom Tender [Ramp, Creature]
1 Faeburrow Elder [Ramp, Creature]
1 Deathrite Shaman [Ramp, Creature]
1 Elvish Mystic [Ramp, Creature]

1 Command Tower [Fixing, Land]
1 Exotic Orchard [Fixing, Land]
1 Reflecting Pool [Fixing, Land]
1 City of Brass [Fixing, Land]
1 Mana Confluence [Fixing, Land]
1 The World Tree [Fixing, Land]
1 Karn's Bastion [Combo, Land]
1 Inkmoth Nexus [Wincon, Land]
1 Blinkmoth Nexus [Wincon, Land]
1 Blighted Woodland [Ramp, Land]
1 Myriad Landscape [Ramp, Land]

1 Terramorphic Expanse [Fixing, Land]
1 Evolving Wilds [Fixing, Land]
1 Fabled Passage [Fixing, Land]
1 Prismatic Vista [Fixing, Land]
1 Ash Barrens [Fixing, Land]

1 Arcane Sanctum [Fixing, Land]
1 Crumbling Necropolis [Fixing, Land]
1 Jungle Shrine [Fixing, Land]
1 Savage Lands [Fixing, Land]
1 Seaside Citadel [Fixing, Land]

1 Spara's Headquarters [Fixing, Land]
1 Raffine's Tower [Fixing, Land]
1 Xander's Lounge [Fixing, Land]
1 Ziatora's Proving Ground [Fixing, Land]
1 Jetmir's Garden [Fixing, Land]

3 Forest [Fixing, Land]
3 Island [Fixing, Land]
3 Plains [Fixing, Land]
3 Mountain [Fixing, Land]
3 Swamp [Fixing, Land]
