1 Varina, Lich Queen [Commander, Creature]

1 Diregraf Ghoul [Tribal, Creature]
1 Gravecrawler [Recursion, Creature]
1 Carrion Feeder [Combo, Creature]
1 Undead Augur [Card Draw, Creature]
1 Wayward Servant [Tribal, Creature]
1 Wight of Precinct Six [Tribal, Creature]
1 Cemetery Reaper [Removal, Creature]
1 Death Baron [Tribal, Creature]
1 Diregraf Captain [Tribal, Creature]
1 Lord of the Accursed [Tribal, Creature]
1 Undead Warchief [Tribal, Creature]
1 Zombie Master [Tribal, Creature]
1 Mikaeus, the Unhallowed [Recursion, Creature]
1 Fleshbag Marauder [Removal, Creature]
1 Putrid Imp [Combo, Creature]
1 Relentless Dead [Recursion, Creature]
1 Tidehollow Sculler [Removal, Creature]
1 Corpse Knight [Tribal, Creature]
1 Shepherd of Rot [Tribal, Creature]
1 Gempalm Polluter [Tribal, Creature]
1 Vengeful Dead [Tribal, Creature]
1 Embalmer's Tools [Tribal, Artifact]

1 Sol Ring [Ramp, Artifact]
1 Arcane Signet [Ramp, Artifact]
1 Dimir Signet [Ramp, Artifact]
1 Azorius Signet [Ramp, Artifact]
1 Orzhov Signet [Ramp, Artifact]
1 Mind Stone [Ramp, Artifact]
1 Zombify [Recursion, Sorcery]
1 Dread Return [Recursion, Sorcery]
1 Unearth [Recursion, Sorcery]

1 Swords to Plowshares [Removal, Instant]
1 Path to Exile [Removal, Instant]
1 Counterspell [Counterspell, Instant]
1 Negate [Counterspell, Instant]
1 Dovin's Veto [Counterspell, Instant]
1 Mortify [Removal, Instant]
1 Brainstorm [Card Draw, Instant]
1 Concentrate [Card Draw, Sorcery]

1 Wrath of God [Boardwipe, Sorcery]
1 Day of Judgment [Boardwipe, Sorcery]
1 Feed the Swarm [Removal, Sorcery]
1 Read the Bones [Card Draw, Sorcery]
1 Night's Whisper [Card Draw, Sorcery]
1 Sign in Blood [Card Draw, Sorcery]
1 Helping Hand [Recursion, Sorcery]
1 Reanimate [Recursion, Sorcery]
1 Divination [Card Draw, Sorcery]
1 Zombie Apocalypse [Recursion, Sorcery]
1 Living Death [Recursion, Sorcery]
1 Deep Analysis [Card Draw, Sorcery]
1 Treasure Cruise [Card Draw, Sorcery]
1 Compulsive Research [Card Draw, Sorcery]

1 Endless Ranks of the Dead [Token Generator, Enchantment]
1 Call to the Grave [Stax, Enchantment]
1 Ghostly Prison [Protection, Enchantment]
1 Propaganda [Protection, Enchantment]
1 Necromantic Selection [Recursion, Sorcery]

1 Command Tower [Fixing, Land]
1 Exotic Orchard [Fixing, Land]
1 Path of Ancestry [Fixing, Land]
1 Caves of Koilos [Fixing, Land]
1 Underground River [Fixing, Land]
1 Tainted Field [Fixing, Land]
1 Tainted Isle [Fixing, Land]
1 Esper Panorama [Fixing, Land]
1 Evolving Wilds [Fixing, Land]
1 Terramorphic Expanse [Fixing, Land]
1 Arcane Sanctum [Fixing, Land]
1 Shimmerdrift Vale [Fixing, Land]
1 Temple of Silence [Fixing, Land]
1 Temple of Deceit [Fixing, Land]
1 Temple of Enlightenment [Fixing, Land]
1 Dismal Backwater [Fixing, Land]
1 Scoured Barrens [Fixing, Land]
1 Tranquil Cove [Fixing, Land]
1 Orzhov Basilica [Fixing, Land]
1 Dimir Aqueduct [Fixing, Land]
1 Azorius Chancery [Fixing, Land]
8 Swamp [Fixing, Land]
6 Island [Fixing, Land]
6 Plains [Fixing, Land]
