1 Varina, Lich Queen [Commander, Creature]

1 Gravecrawler [Recursion, Creature]
1 Carrion Feeder [Combo, Creature]
1 Cryptbreaker [Card Draw, Creature]
1 Champion of the Perished [Tribal, Creature]
1 Relentless Dead [Recursion, Creature]
1 Tidehollow Sculler [Removal, Creature]
1 Wayward Servant [Tribal, Creature]
1 Death Baron [Tribal, Creature]
1 Diregraf Captain [Tribal, Creature]
1 Lord of the Accursed [Tribal, Creature]
1 Undead Warchief [Tribal, Creature]
1 Zombie Master [Tribal, Creature]
1 Mikaeus, the Unhallowed [Recursion, Creature]
1 Corpse Knight [Tribal, Creature]
1 Fleshbag Marauder [Removal, Creature]
1 Liliana, Heretical Healer [Recursion, Creature]
1 Gray Merchant of Asphodel [Wincon, Creature]
1 Sidisi, Undead Vizier [Combo, Creature]
1 Gisa and Geralf [Recursion, Creature]
1 The Scarab God [Tribal, Creature]
1 Elesh Norn, Grand Cenobite [Stax, Creature]
1 Sheoldred, Whispering One [Recursion, Creature]
1 Consecrated Sphinx [Card Draw, Creature]
1 Jin-Gitaxias, Core Augur [Card Draw, Creature]

1 Sol Ring [Ramp, Artifact]
1 Lotus Petal [Ramp, Artifact]
1 Mana Vault [Ramp, Artifact]
1 Chrome Mox [Ramp, Artifact]
1 Mox Diamond [Ramp, Artifact]
1 Arcane Signet [Ramp, Artifact]
1 Dimir Signet [Ramp, Artifact]
1 Azorius Signet [Ramp, Artifact]
1 Orzhov Signet [Ramp, Artifact]
1 Talisman of Dominance [Ramp, Artifact]
1 Talisman of Progress [Ramp, Artifact]
1 Talisman of Hierarchy [Ramp, Artifact]
1 Scroll Rack [Card Draw, Artifact]
1 Sensei's Divining Top [Card Draw, Artifact]
1 Skullclamp [Card Draw, Artifact]
1 Phyrexian Altar [Combo, Artifact]
1 Ashnod's Altar [Combo, Artifact]
1 Lightning Greaves [Protection, Artifact]

1 Swords to Plowshares [Removal, Instant]
1 Path to Exile [Removal, Instant]
1 Force of Will [Counterspell, Instant]
1 Force of Negation [Counterspell, Instant]
1 Counterspell [Counterspell, Instant]
1 Dovin's Veto [Counterspell, Instant]
1 Anguished Unmaking [Removal, Instant]
1 Enlightened Tutor [Combo, Instant]
1 Mystical Tutor [Combo, Instant]
1 Cyclonic Rift [Removal, Instant]
1 Brainstorm [Card Draw, Instant]
1 Pact of Negation [Counterspell, Instant]

1 Demonic Tutor [Combo, Sorcery]
1 Imperial Seal [Combo, Sorcery]
1 Grim Tutor [Combo, Sorcery]
1 Buried Alive [Combo, Sorcery]
1 Entomb [Combo, Sorcery]
1 Reanimate [Recursion, Sorcery]
1 Zombify [Recursion, Sorcery]
1 Living Death [Recursion, Sorcery]
1 Dread Return [Recursion, Sorcery]
1 Patriarch's Bidding [Recursion, Sorcery]
1 Zombie Apocalypse [Recursion, Sorcery]
1 Wrath of God [Boardwipe, Sorcery]
1 Toxic Deluge [Boardwipe, Sorcery]
1 Time Spiral [Card Draw, Sorcery]
1 Windfall [Card Draw, Sorcery]
1 Timetwister [Card Draw, Sorcery]

1 Rooftop Storm [Combo, Enchantment]
1 Endless Ranks of the Dead [Token Generator, Enchantment]
1 Phyrexian Arena [Card Draw, Enchantment]
1 Rhystic Study [Card Draw, Enchantment]
1 Smothering Tithe [Ramp, Enchantment]
1 Necropotence [Card Draw, Enchantment]
1 Animate Dead [Recursion, Enchantment]
1 Necromancy [Recursion, Enchantment]
1 Dance of the Dead [Recursion, Enchantment]

1 Liliana of the Veil [Removal, Planeswalker]
1 Liliana, the Last Hope [Recursion, Planeswalker]
1 Jace, the Mind Sculptor [Card Draw, Planeswalker]
1 Teferi, Time Raveler [Protection, Planeswalker]

1 Command Tower [Fixing, Land]
1 Ancient Tomb [Ramp, Land]
1 City of Brass [Fixing, Land]
1 Mana Confluence [Fixing, Land]
1 Reflecting Pool [Fixing, Land]
1 Exotic Orchard [Fixing, Land]
1 Godless Shrine [Fixing, Land]
1 Watery Grave [Fixing, Land]
1 Hallowed Fountain [Fixing, Land]
1 Scrubland [Fixing, Land]
1 Underground Sea [Fixing, Land]
1 Tundra [Fixing, Land]
1 Marsh Flats [Fixing, Land]
1 Polluted Delta [Fixing, Land]
1 Flooded Strand [Fixing, Land]
1 Windswept Heath [Fixing, Land]
1 Scalding Tarn [Fixing, Land]
1 Prismatic Vista [Fixing, Land]
1 Fabled Passage [Fixing, Land]
1 Caves of Koilos [Fixing, Land]
1 Underground River [Fixing, Land]
1 Adarkar Wastes [Fixing, Land]
1 Drowned Catacomb [Fixing, Land]
1 Isolated Chapel [Fixing, Land]
1 Glacial Fortress [Fixing, Land]
1 Arcane Sanctum [Fixing, Land]
1 Morphic Pool [Fixing, Land]
1 Sea of Clouds [Fixing, Land]
1 Vault of Champions [Fixing, Land]
1 Academy Ruins [Combo, Land]
1 Bojuka Bog [Removal, Land]
1 Reliquary Tower [Other, Land]
1 Otawara, Soaring City [Removal, Land]
1 Eiganjo, Seat of the Empire [Protection, Land]
1 Takenuma, Abandoned Mound [Recursion, Land]
4 Swamp [Fixing, Land]
3 Island [Fixing, Land]
3 Plains [Fixing, Land]
